課次	泰文	舊拼音(Sheet)	新拼音(目的達)	中文	來源	備註
初 1	สวัสดี ค่ะ / ครับ	sawatdee kha / khrap	saˇ watˇ dhī kaˋ / krap~	你好	derived	
初 1	เชิญ	cheun	chə̄n	請	derived	
初 1	ขอบคุณ ค่ะ/ครับ	khop khun kha/khrap	kɔ̄pˇ kun kaˋ/krap~	謝謝你	derived	
初 1	ไม่ต้องเกรงใจ	mai tong kreng jai	maiˋ dɔ̄ngˋ grēng jai	不用掛心、不客氣	engine-auto	
初 1	ขอโทษ	kho thot	kɔ̄ˊ tōtˋ	對不起	engine-auto	
初 1	ไม่เป็นไร	mai pen rai	maiˋ ben rai	沒關係	engine-auto	
初 1	ไม่รู้	mai ru	maiˋ rū~	不知道	derived	
初 1	บ๊ายบาย	bai bai	bhāi~ bhāi	再見	derived	
初 1	สู้ ๆ	suu suu	sūˋ sūˋ	加油	book-exact	
初 1	โชคดีนะ	chok dee na	chōkˋ dhī na~	祝好運	derived	
初 1	ขอบคุณ ค่ะ/ครับ	khop khun kha/khrap	kɔ̄pˇ kun kaˋ/krap~	謝謝你	derived	
初 1	ขอบคุณ มาก	khop khun mak	kɔ̄pˇ kun mākˋ	很謝謝你	derived	
初 1	ขอโทษ ค่ะ/ครับ	kho thot kha/khrap	kɔ̄ˊ tōtˋ kaˋ/krap~	對不起	derived	
初 1	ขอโทษจริง ๆ	kho thot jing jing	kɔ̄ˊ tōtˋ jing kɔ̄ˊ tōtˋ jing	真是對不起	derived	
初 1	ดี ค่ะ/ครับ	dee kha/khrap	dhī kaˋ/krap~	好	derived	
初 1	ดีมาก ค่ะ/ครับ	dee mak kha/khrap	dhī mākˋ kaˋ/krap~	很好	derived	
初 1	สวย	suay	sūayˊ	美	derived	
初 1	สวยมาก	suay mak	sūayˊ mākˋ	很美	derived	
初 1	เก่ง	keng	gēngˇ	棒	engine-auto	
初 1	เก่งมาก	keng mak	gēngˇ mākˋ	很棒	engine-auto	
初 1	สนุก	sanuk	saˇ nuk~	有趣、好玩	derived	
初 1	สนุกมาก	sanuk mak	saˇ nuk~ mākˋ	很有趣、很好玩	derived	
初 1	อร่อย	aroi	aˇ rɔ̄iˋ	好吃	derived	
初 1	อร่อยมาก	aroi mak	aˇ rɔ̄iˋ mākˋ	很好吃	engine-auto	
初 1	แล้วเจอกันนะ	laew jer gan na	lɛ̄u~ jə̄ gan na~	待會兒見	derived	
初 1	สบายดีไหม	sabai dee mai	saˇ bhāi dhī maiˊ	舒服嗎？/好嗎？	derived	
初 1	สบายดี	sabai dee	saˇ bhāi dhī	好	derived	
初 1	ดีไหม	dee mai	dhī maiˊ	好嗎？	derived	
初 1	ดี	dee	dhī	好	derived	
初 1	ดีมาก	dee mak	dhī mākˋ	很好	derived	
初 1	ไม่ดี	mai dee	maiˋ dhī	不好	engine-auto	
初 1	ไม่ค่อยดี	mai khoi dee	maiˋ kɔ̄iˋ dhī	不太好	derived	
初 1	สนุกไหม	sanuk mai	saˇ nuk~ maiˊ	好玩嗎？	derived	
初 1	สนุก	sanuk	saˇ nuk~	好玩	derived	
初 1	สนุกมาก	sanuk mak	saˇ nuk~ mākˋ	很好玩	derived	
初 1	ไม่สนุก	mai sanuk	maiˋ saˇ nuk~	不好玩	derived	
初 1	ไม่ค่อยสนุก	mai khoi sanuk	maiˋ kɔ̄iˋ saˇ nuk~	不太好玩	derived	
初 1	หิวไหม	hiu mai	hiwˊ maiˊ	餓嗎？	derived	
初 1	หิว	hiu	hiwˊ	餓	derived	
