泰文	舊拼音(Sheet)	新拼音(目的達)	中文	來源	備註
ร้าน	raan	rān~	店	book-exact	(book-exact已用引擎重新驗證)
ร้านอาหาร	raan aahaan	rān~ ā hānˊ	餐廳	engine-auto	
ร้านกาแฟ	raan gaafae	rān~ gā fɛ̄	咖啡店	engine-auto	
ยา	yaa	yā	藥	book-exact	(book-exact已用引擎重新驗證)
ร้านยา	raan yaa	rān~ yā	藥局	engine-auto	
ร้านนี้	raan ni	rān~ nī~	這家店	engine-auto	
ชื่ออะไร	chue arai	chɯ̄ˋ aˇ rai	叫什麼名字	engine-auto	
เดิน	dern	dhə̄n	走路	engine-auto	
เดินไปไหน	dern pai nai	dhə̄n bai naiˊ	走到哪裡	engine-auto	
เดินไปตลาด	dern pai talat	dhə̄n bai daˇ lātˋ	走去市場	engine-auto	
ตลาด	talat	daˇ lātˋ	市場	book-exact	(book-exact已用引擎重新驗證)
เดินไปร้านยา	dern pai raan yaa	dhə̄n bai rān~ yā	走去藥局	engine-auto	
ยา	yaa	yā	藥	book-exact	(book-exact已用引擎重新驗證)
เดินไปสถานีรถไฟฟ้า	dern pai sathani rot fai fa	dhə̄n bai saˇ tāˊ nī rot~ fai fā~	走去捷運站	engine-auto	
สถานีรถไฟฟ้า	sathani rot fai fa	saˇ tāˊ nī rot~ fai fā~	捷運站	engine-auto	
สถานี BTS	sathani BTS	saˇ tāˊ nī BTS	BTS 站	engine-auto	
สถานี MRT	sathani MRT	saˇ tāˊ nī MRT	MRT 站	engine-auto	
ท่าเรือ	tha ruea	tāˋ rɯ̄a	碼頭	engine-auto	
เดินไปท่าเรือ	dern pai tha ruea	dhə̄n bai tāˋ rɯ̄a	走去碼頭	engine-auto	
เดินไปป้ายรถเมล์	dern pai paai rot mae	dhə̄n bai bāiˋ rot~ mē	走去公車站牌	engine-auto	
ป้ายรถเมล์	paai rot mae	bāiˋ rot~ mē	公車站牌	engine-auto	
เดินไปป้ายรถเมล์	dern pai paai rot mae	dhə̄n bai bāiˋ rot~ mē	走去公車站牌	engine-auto	
เดินไปแปดนาที	dern pai paet natee	dhə̄n bai bɛ̄tˇ nā tī	走八分鐘	engine-auto	
แปด	paet	bɛ̄tˇ	八	engine-auto	
นาที	natee	nā tī	分鐘	engine-auto	
เรียน	rian	rīan	學、上課	book-exact	(book-exact已用引擎重新驗證)
ภาษา	pasa	pā sāˊ	語言	engine-auto	
ภาษาไทย	pasa thai	pā sāˊ tai	泰文	engine-auto	
เรียนภาษาไทย	rian pasa thai	rīan pā sāˊ tai	學泰文	engine-auto	
เรียนเก่ง	rian keng	rīan gēngˇ	很會讀書	engine-auto	
เก่ง	keng	gēngˇ	厲害、棒	engine-auto	
เรียนเก่ง	rian keng	rīan gēngˇ	很會讀書	engine-auto	
เรียนทำอาหาร	rian tam aahaan	rīan tam ā hānˊ	學做菜	engine-auto	
อาหาร	aahaan	ā hānˊ	食物、菜	book-exact	(book-exact已用引擎重新驗證)
ทำอาหาร	tam aahaan	tam ā hānˊ	做菜	engine-auto	
เรียนทำอาหาร	rian tam aahaan	rīan tam ā hānˊ	學做菜	engine-auto	
ฟัง	fang	fang	聽	book-exact	(book-exact已用引擎重新驗證)
ฟังอะไร	fang arai	fang aˇ rai	聽什麼	engine-auto	
ฟังเข้าใจไหม	fang khao jai mai	fang kāuˋ jai maiˊ	聽得懂嗎	engine-auto	
เข้าใจ	khao jai	kāuˋ jai	懂、了解	engine-auto	
ไหม	mai	maiˊ	嗎	engine-auto	
ฟังเข้าใจไหม	fang khao jai mai	fang kāuˋ jai maiˊ	聽得懂嗎	engine-auto	
ฉันฟังเข้าใจแล้ว	chan fang khao jai laew	chanˊ fang kāuˋ jai lɛ̄u~	我聽懂了	engine-auto	
ฟังฉันพูด	fang chan pood	fang chanˊ pūtˋ	聽我說	engine-auto	
ฟังผมพูด	fang pom pood	fang pomˊ pūtˋ	聽我說（男）	engine-auto	
ฟังดีๆนะ	fang dii dii na	fang dhī dhī na~	認真聽喔	engine-auto	
ดี	dii	dhī	好	engine-auto	
ฟังดีๆนะ	fang dii dii na	fang dhī dhī na~	認真聽喔	engine-auto	
พูด	pood	pūtˋ	說	book-exact	(book-exact已用引擎重新驗證)
พูดภาษาจีน	pood pasa jeen	pūtˋ pā sāˊ jīn	說中文	engine-auto	
เป็น	pen	ben	會、是	book-exact	(book-exact已用引擎重新驗證)
ไหม	mai	maiˊ	嗎	engine-auto	
พูดภาษาจีนเป็นไหม	pood pasa jeen pen mai	pūtˋ pā sāˊ jīn ben maiˊ	會說中文嗎	engine-auto	
เป็นนิดหน่อย	pen nit noi	ben nit~ nɔ̄iˇ	會一點點	engine-auto	
เป็นไหม	pen mai	ben maiˊ	會嗎	engine-auto	
