泰文	舊拼音(Sheet)	中文	課次	無法處理的音節
พวกคุณมาจากไหนคะ	phuak khun maa jaak nai kha	(女) 你們來自哪裡？	初 2-2	音節「น」無法解析
คุณเฉินหรือคุณหลิน	khun chen reu khun lin	陳先生/小姐或是林先生/小姐？	初 2-2	音節「ห」無法解析
อพาร์ทเม้นท์	apartment	公寓；套房	初 2-5	音節「อ」無法解析
อยู่อพาร์ทเม้นท์	yuu apartment	住套房	初 2-5	音節「อ」無法解析
นักศึกษาชอบอยู่อพาร์ทเม้นท์	nak suk sa chop yuu apartment	大學生喜歡住套房	初 2-5	音節「อ」無法解析
น้ำทะเลก็สีฟ้า	nam tha-le gor see fa	海水也是藍色的	初 2-7	音節「เลก็สี」無法解析
เฮลโลคิตตี้สีชมพู	hello kitty see chomphoo	Hello Kitty 是粉紅色的	初 2-7	音節「ล」無法解析
น้ำทะเลก็สีฟ้า	nam tha-le gor see fa	海水也是藍色的	初 2-8	音節「เลก็สี」無法解析
เฮลโลคิตตี้สีชมพู	hello kitty see chomphoo	Hello Kitty 是粉紅色的	初 2-8	音節「ล」無法解析
ฟู้ดคอร์ทอยู่ที่ไหน	fut khot yuu thi nai	美食廣場在哪裡？	初 3-2	音節「ท」無法解析
ฟู้ดคอร์ทอยู่ที่ไหน	fut khot yuu thi nai	美食廣場在哪裡？	初 3-2	音節「ท」無法解析
ฟู้ดคอร์ท	fut khot	美食街	初 3-2	音節「ท」無法解析
บ้านผมใกล้แถวกู่ถิง	baan phom glai thaeo gu-thing	我家在古亭附近	初 3-2	音節「ง」無法解析
ตง	tong	直、正 (口語發音)	初 3-3	音節「ตง」無法解析
พรุ่งนี้ ไปไหนคะ	phrung nee bpai nai kha	明天 去哪裡呢？	初 3-4	音節「น」無法解析
นาฬิกาคุคคู	nalika khuk khu	酷咕鐘 (布穀鐘)	初 3-6	音節「ค」無法解析
อ้อยเอาไปทําน้ําตาลได้	oi ao pai tam namtan dai	甘蔗可以拿去做糖	初 3-7	音節「ทําน้ํา」無法解析
กรุงเทพฯ อยู่ภาคกลาง	groong tep yoo paak glaang	曼谷在中部	初 3-8	音節「ฯ」無法解析
เม็ดกาแฟยี่ห้อนี้หอมมาก	met gaa fae yee haw nee hawm maak	這牌子咖啡豆很香	初 4-1	音節「ม」無法解析
ใช้แอปเรียกแท็กซี่	chai app riak taxi	使用App叫計程車	初 4-3	音節「ป」無法解析
จะจองวันไหนคะ	ja jong wan nai kha	要訂哪一天？	初 4-4	音節「น」無法解析
บัตรแรบบิท	bat rabbit	兔兔卡（Rabbit Card）	初 4-4	音節「บ」無法解析
ไปแคสติ้ง	pai casting	去試鏡	初 4-7	音節「ส」無法解析
ฟอลโล่	fol lo	追蹤（外來語）	初 4-7	音節「ล」無法解析
ตอนนี้คุณฟอลโล่ใครนะ	torn nee khun fol lo khrai na	現在你追蹤誰？	初 4-7	音節「ล」無法解析
พรุ่งนี้จะไปไหนคะ	phrung ni cha pai nai kha	明天要去哪裡呢？（問朋友）	初 4-8	音節「น」無法解析
แฟนมีต	faen mit	粉絲 / 粉絲見面會	初 5-1	音節「ต」無法解析
แฟนมีตวันที่เท่าไหร่	faen mit wan thi thao rai	粉絲見面會是幾號？	初 5-1	音節「ต」無法解析
แฟนมีตที่ไต้หวันวันที่ 30	faen mit thi tai wan wan thi sam sip	台灣的粉絲見面會在30號	初 5-1	音節「ต」無法解析
แฟนมีตที่ไต้หวันสนุกมาก	faen mit thi tai wan sanuk mak	台灣的粉絲見面會很有趣	初 5-1	音節「ต」無法解析
ไม่ม่ฮ้วนเลย	mai uan loei	一點也不胖	初 5-1	音節「ม่ฮ้วน」無法解析
ไม่ยาวกกำลังกาย	mai ok kam-lang kai	不運動	初 5-1	音節「วก」無法解析
เบื่อกงาน	Buea Ngan	厭煩工作	初 5-2	音節「ก」無法解析
メียดุ	mia du	老婆很兇	初 5-3	音節「ีย」無法解析
โ動พ่อดุ	don phor du	被爸爸罵	初 5-3	音節「โ」無法解析
ได้มั้คะ	tai mai kha	可以嗎	初 5-7	音節「มั้คะ」無法解析
ทำเค้กเป็นมย	tham khek pen mai	會做蛋糕嗎	初 5-7	音節「มย」無法解析
ตลาดน้ำอัมพวา	ta lat nam am pha wa	安帕瓦水上市場	初 5-7	音節「พ」無法解析
ภูมิพล	phu mi phon	蒲美蓬	初 5-7	音節「พล」無法解析
ชิว จัง	chiu chang	很悠閒	初 5-總複習	音節「ว」無法解析
ป.1	Po nueng	小一	中 1-1	音節「ป」無法解析
ป.6	Po hok	小六（口語）	中 1-1	音節「ป」無法解析
ม.ต้น	Mo ton	國中（口語簡稱）	中 1-1	音節「ม」無法解析
ม.4	Mo si	高一	中 1-1	音節「ม」無法解析
อยู่ ป.1	Yu po nueng	讀小一	中 1-1	音節「ป」無法解析
อยู่ ม.2	Yu mo song	讀國二	中 1-1	音節「ม」無法解析
ม.ต้น	mo ton	國中（簡稱）	中 1-2	音節「ม」無法解析
ม.ต้นเรียนโรงเรียนไหน	mo ton rian rong rian nai	國中讀哪間學校？	中 1-2	音節「ม」無法解析
โรครกประจำตัว	rok pra cham tua	慢性病	中 1-2	音節「ครก」無法解析
เลขอารบิก	lek arabik	阿拉伯數字	中 1-3	音節「ร」無法解析
นัด 8 น.	nat paet no	約八點	中 1-4	音節「น」無法解析
เขานัดพวกเรา 8.30 น.	khao nat phuak rao paet mong khrueng	他約我們8點半	中 1-5	音節「น」無法解析
นอกจากจะมีสระว่ายน้ำแล้วยังมีเกมรูมด้วย	nok chak cha mi sa wai nam laeo yang mi kem rum duai	除了有游泳池之外，還有遊戲室	中 1-6	音節「ม」無法解析
เรียนม.6แล้ว	rian mo hok laeo	念高三了	中 1-6	音節「ม」無法解析
แป๊บแป๊บเรียนม.ปลายแล้ว	paep paep rian mo plai laeo	一下下就上高中了	中 1-7	音節「ม」無法解析
เตรียมตัวไปแฟนมีต	triam tua pai faen mit	準備去粉絲見面會	中 1-8	音節「ต」無法解析
รปภ.	ro po pho	保全人員	中 2-4	音節「รปภ」無法解析
รับสมัคร รปภ.	rap samak ro po pho	徵聘保全人員	中 2-4	音節「รปภ」無法解析
